"","war","deathrange","date","combatants","location","notes","geom_mean"
"27","Reconquista","7,000,000+","711–1492","Spanish and Portuguese states vs. Muslim states","Iberian Peninsula","[5]",7e+06
"28","An Lushan Rebellion","13,000,000–36,000,000","755–763","Tang Dynasty China and Islamic Empire vs. Yan state","China /  Vietnam","[6] – Also known as the An–Shi Rebellion",21633308
"29","Goryeo–Khitan Wars","90,000+","993–1019","Liao Empire vs.  Goryeo Kingdom","Korea","[7]",90000
"30","Crusades","1,000,000–3,000,000","1095–1291","Originally Byzantine Empire vs. Seljuq Empire, but evolved into Christians vs. Muslims.","Europe / Middle East (""Holy Land"")","[8]",1732051
"31","Albigensian Crusade","200,000–1,000,000","1208–1229","Papal States and France vs. Cathartic States","France","[9][10] – Also known as the Cathar Crusade
– Part of the Crusades",447214
"32","Mongol conquests","30,000,000–40,000,000","1206–1368","Mongol Empire vs. Several Eurasian states","Eurasia","[11][12][13] – Excludes the (up to) 200,000,000 deaths from the Black Death migration that may have been associated with the Mongol expansion",34641016
"33","Wars of Scottish Independence","60,000-150,000","1296–1357","Scotland vs. England","Scotland / England","",94868
"34","Hundred Years' War","2,300,000–3,300,000","1337–1453","House of Valois vs. House of Plantagenet","Western Europe","[14]",2754995
"35","Conquests of Timur","8,000,000–20,000,000","1370–1405","Timurid Empire vs. several middle eastern states","Eurasia","[15][16]",12649111
"36","Conquests of Mehmed II 'the Conqueror'","873,000+","1451–1481","Ottoman Empire vs. Various south European states","Eastern Europe","[17] May be over or underestimated",873000
"37","Wars of the Roses","35,000–50,000","1455–1487","House of Lancaster, House of Tudor, and allies vs. House of York and allies","England / Wales","[18][better source needed][19]",41833
"38","Italian Wars","300,000–400,000","1494–1559","Holy Roman Empire, Spain, and some Italian States vs. France, Ottoman Empire, and some Italian states","Southern Europe","[20] – Also known as the Great Wars of Italy",346410
"39","Spanish conquest of the Aztec Empire","24,300,000+","1519–1632","Spanish Colonial Empire vs. Aztec Empire","Mexico","[20] – Part of the European colonization of the Americas, includes the cocoliztli plagues",24300000
"40","Spanish conquest of Yucatán","1,460,000+","1519–1595","Spanish Colonial Empire vs. Mayan States","North America","[20] – Part of the European colonisation of the Americas, includes deaths due to European disease",1460000
"41","Spanish conquest of the Inca Empire","8,400,000+","1533–1572","Spanish Colonial Empire vs. Inca Empire","Peru","[20] – Part of the European colonization of the Americas, includes deaths due to European diseases",8400000
"42","Campaigns of Suleiman the Magnificent","200,000+","1521–1566","Ottoman Empire vs. several Balkan, African, and Arabian States","Eastern Europe / Middle East / North Africa","[21]",2e+05
"43","German Peasants' War","100,000+","1524–1525","German Peasants vs. Swabian League","Germany","[22] – Also known as the Great Peasants War",1e+05
"44","French Wars of Religion","2,000,000–4,000,000","1562–1598","Protestants vs. France vs. Catholics","France","[23] – Also known as the Huguenot Wars",2828427
"45","Eighty Years' War","600,000–700,000","1568–1648","Dutch Republic, England, Scotland, and France vs. Spanish Empire","Worldwide","[20] – Also known as the Dutch War of Independence",648074
"46","Anglo-Spanish War (1585–1604)","138,285+","1585–1604","Spanish Empire and allies vs. Kingdom of England and allies","Europe / Americas","English88,285[24]Scots/Irish50,000",138285
"47","Japanese invasions of Korea","1,000,000+","1592–1598","Kingdom of Great Joseon and Ming China vs. Japan","Korea","[25]",1e+06
"48","Transition from Ming to Qing","25,000,000+","1616–1683","Qing China vs. Ming China vs. Shun dynasty China (Li Zicheng) vs. Xi dynasty China (Zhang Xianzhong vs. Kingdom of Shu (She-An Rebellion) vs. Evenk-Daur federation (Bombogor )","China","[26] – Also known as the Ming–Qing transition",2.5e+07
"49","Thirty Years' War","3,000,000–11,500,000","1618–1648","Pro-Habsburg states vs. Anti-Habsburg states","Europe","[27]",5873670
"50","Franco-Spanish War (1635–59)","200,000+","1635–1659","France and Allies vs. Spain and Allies","Western Europe","[21][28]",2e+05
"51","Wars of the Three Kingdoms","876,000+","1639–1651","Royalists vs. Covenanters vs.Union of the Irish vs. Scottish Protestants vs. Parliamentarians","British Isles","[29][30][31] – Also known as the British Civil Wars",876000
"52","English Civil War","356,000–735,000","1642–1651","Royalists vs. Parliamentarians","England","[32] – Part of the Wars of the Three Kingdoms",511527
"53","Mughal–Maratha Wars","5,000,000+","1658-1707","Maratha empire vs. Mughal Empire","India-Bangladesh","[33][34]",5600000
"54","Franco-Dutch War","220,000+","1672–1678","France and allies vs. Dutch Republic and allies","Western Europe","[21] – Also known as the Dutch War",220000
"55","Great Turkish War","120,000+","1683–1699","Ottoman Empire vs. European Holy League","Eastern Europe","[21] – Also known as the War of the Holy League",120000
"56","Great Northern War","350,000+","1700–1721","Russia and allies vs. Swedish Empire","Eastern Europe","Sweden, the Swedish Baltic provinces, and Finland, together, with a population of only 2.5 million, lost some 350,000 dead during the war from all causes.[35]",350000
"57","War of the Spanish Succession","400,000–1,251,000","1701–1714","Grand Alliance vs. Bourbon Alliance","Europe / Americas","[21]",707390
"58","Maratha expeditions in Bengal","400,000+","1741–1751","Maratha Empire vs. Nawab of Bengal","India","[36][37]",4e+05
"59","Seven Years' War","868,000–1,400,000","1756–1763","Great Britain and allies vs. France and Allies","Worldwide","[38][39]",1102361
"60","Sino-Burmese War (1765–69)","70,000+","1765–1769","Burma vs. Qing China","Southeast Asia","– Also known as the Qing invasions of Burma",70000
"61","American Revolutionary War","37,324+","1775–1783","United States and allies vs. British Empire and German Mercenaries","Worldwide","37,324 battle dead, all sides, all theaters.[21][40][41][42][43] – Also known as the American War of Independence",37324
"62","French campaign in Egypt and Syria","65,000+","1798–1801","France vs. Ottoman Empire and Great Britain","Middle East / North Africa","[21]",65000
